url,rawpoll_trump,rawpoll_clinton,rawpoll_johnson,rawpoll_mcmullin,state
https://today.yougov.com/news/2016/11/07/yougov-final-polls-battleground-states/,40,23,7,0,24Utah
http://www.publicpolicypolling.com/pdf/2015/PPP_Release_COMIVA_110416.pdf,43,48,4,0,Colorado
https://lintvwavy.files.wordpress.com/2016/11/hu-cpp-poll-6-final.pdf,41,45,0,0,Virginia
http://media.wix.com/ugd/3bebb2_f1333cfb6e9f42ae9d2e9dd81053b33a.pdf,39.8,19.6,3,0,27.6Utah
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,41,48,7,0,North Carolina
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,46,43,6,0,Texas
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,42,44,8,0,Michigan
http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,45,46,3,0,North Carolina
projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf,46.5,40.5,6.6,0,Missouri
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,45,42,7,0,Ohio
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,43,46,6,0,Pennsylvania
http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,44,48,4,0,Pennsylvania
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,40,43,10,0,Colorado
http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,37,45,11,0,New Mexico
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,31,56,6,0,California
http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,49,43,5,0,Nevada
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,42,45,7,0,Arizona
https://drive.google.com/file/d/0B4lhKxf9pMitOXlldjlMQUNRbkU/view,51.58,45.11,1.89,0,Georgia
http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,49,44,5,0,Arizona
https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,43,48,0,0,New Hampshire
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,45,45,7,0,Georgia
https://drive.google.com/file/d/0B4lhKxf9pMitN1JxcDRvQkdudkE/view,48.52,46.82,2.89,0,Michigan
http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html?sr=twCNN110216polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona0407PMVODtopLink&linkId=30619479,47,49,3,0,Florida
https://www.scribd.com/document/330023731/UTAH-Final,35,29,3,0,24Utah
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,42,44,7,0,Wisconsin
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,41,49,7,0,Virginia
http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,45,46,4,0,Florida
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,32,57,5,0,New York
http://www.wral.com/wral-poll-trump-charges-ahead-in-nc/16183780/,51,44,0,0,North Carolina
http://www.breitbart.com/2016-presidential-race/2016/11/07/exclusive-breitbart-gravis-polls-swing-state-roundup/,41,46,3,0,Michigan
https://drive.google.com/file/d/0B4lhKxf9pMitUTc5eVFiWERJRFE/view,49.72,46.13,2.43,0,Florida
http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246,41,47,8,0,North Carolina
http://www.nytimes.com/interactive/2016/10/30/upshot/florida-poll.html?_r=0,46,42,4,0,Florida
https://drive.google.com/file/d/0B4lhKxf9pMitMnpma3JKTjh4aGs/view,39.95,29.52,3.89,0,24.52Utah
http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246,44,45,5,0,Florida
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,35,52,6,0,Illinois
http://www.thegazette.com/subject/news/public-safety/trump-clings-to-small-edge-in-iowa-20161103,44,41,5,0,Iowa
https://drive.google.com/file/d/0B4lhKxf9pMiteE9pZkcwQnZ3TVk/view,48.43,46.51,2.3,0,Pennsylvania
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47,38,9,0,Iowa
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,52,35,10,0,Indiana
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,47,43,6,0,South Carolina
http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll,45,43,4,0,Florida
https://cdn.americanprogress.org/content/uploads/sites/2/2016/11/03143903/NationalMemo112-Final.pdf,45,48,0,0,Nevada
http://www.freep.com/story/news/politics/2016/11/04/free-press-poll-donald-trump-gains-hillary-clinton-race-michigan-tightens/93287658/,38,42,5,0,Michigan
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,35,50,7,0,Oregon
http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html,39,46,6,0,Pennsylvania
projects.fivethirtyeight.com/polls/20161107_Swing_1.pdf,45.6,46.8,3.9,0,Nevada
http://themissouritimes.com/35134/blunt-opens-lead-kander-new-poll/,53,39,0,0,Missouri
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,34,31,7,0,25Utah
http://www.breitbart.com/big-government/2016/11/04/exclusive-breitbartgravis-new-hampshire-poll-trump-takes-lead-granite-state/,43,41,7,0,New Hampshire
http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf,28,54,5,0,California
http://www.dispatch.com/content/stories/local/2016/11/06/dispatch-poll-finds-presidential-race-too-close-to-call.html,47,48,0,0,Ohio
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,49,41,5,0,Tennessee
https://www.surveymonkey.com/elections/map?poll=sm-lv-cps,33,51,8,0,Washington
http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/,39,42,7,0,Colorado
http://www.cbsnews.com/news/cbs-battleground-poll-partisans-divide-on-news-of-fbi-emails/,44,42,4,0,Arizona
